id,rated,variant,speed,perf,created_at_ms,last_move_at_ms,status,winner,moves,turns,opening_name,opening_eco,white_name,white_id,white_rating,black_name,black_id,black_rating,created_at,last_move_at
hlcgjYEm,True,standard,blitz,blitz,1764490963490,1764491196352,resign,white,d4 d5 c4 c6 Nf3 Nf6 Nc3 e6 e3 Nbd7 Bd3 Bd6 e4 dxe4 Nxe4 Nxe4 Bxe4 Nf6 Bc2 O-O O-O b6 Qd3 Bb7 Bg5 g6 Rad1 Be7 Bh6 Re8 Qe3 Ng4 Qf4 Nxh6 Qxh6 Bf8 Qe3 Bg7 b4 Qe7 c5 Ba6 Rfe1 Bc4 Bb3 Bd5 Bxd5 cxd5 c6 Qxb4 Ne5 Bxe5 Qxe5 Rec8 Rc1 Qe7 Rc3 Rc7 g3 Rac8 Rec1 b5 Qe2 Rxc6 Rxc6 Rxc6 Rxc6,,Semi-Slav Defense: Chigorin Defense,D46,spellbind,spellbind,1996,bakum82,bakum82,1984,2025-11-30 08:22:43.490,2025-11-30 08:26:36.352
O8edpIlW,True,standard,blitz,blitz,1764490638946,1764490956078,outoftime,black,d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Bg5 Be7 e3 Nbd7 Bd3 c6 Qc2 h6 Bh4 b6 Nf3 Bb7 O-O O-O Rab1 c5 dxc5 Nxc5 Be2 Rc8 Rfd1 Nce4 Qb3 Nxc3 bxc3 Ne4 Bxe7 Qxe7 Rbc1 Qc5 Ne5 Rfd8 Bh5 g6 Bf3 Nxc3 Re1 b5 Nd3 Qc4 Nb4 Qxb3 axb3 a5 Nc2 b4 Nd4 Ne4 Rcd1 f5 h4 Kf7 g3 Rc3 Rb1 Kf6 Nb5 Rc5 Nd4 Nd2 Rb2 Nxf3+ Nxf3 Rdc8 Nd4 Rc1 Kf1 Rxe1+ Kxe1 Rc1+ Kd2 Rf1 Ke2 Ba6+,,"Queen's Gambit Declined: Exchange Variation, Positional Variation",D35,spellbind,spellbind,2002,Iskandar88,iskandar88,2000,2025-11-30 08:17:18.946,2025-11-30 08:22:36.078
CEOUHkHs,True,standard,blitz,blitz,1764162420281,1764162760907,outoftime,white,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Nxd7 O-O Ngf6 Re1 g6 c3 Bg7 d4 cxd4 cxd4 O-O Nc3 Rc8 a3 a6 Bg5 h6 Bh4 b5 Rc1 Nb6 b3 Nfd7 e5 dxe5 Nxe5 Nxe5 dxe5 Qxd1 Rexd1 e6 Be7 Rfe8 Bd6 Nd7 Ne4 Nxe5 Rxc8 Rxc8 Bxe5 Bxe5 h3 Rc6 f3 h5 a4 bxa4 bxa4 Kg7 Rd2 Bf4 Ra2 h4 Kf2 g5 a5 Kg6 Ke2 f5 Nf2 Kf6 Nd3 Bg3 Nb4 Rd6 Rc2 Bf4 Nd3 Bg3 Nc5 Kg6 Nd3 Rd5 Ra2 Bd6 Nb2 Rb5 Nc4 Bc7 Kd3 Kf6 Ra4 e5 Ne3 Ke6 Nc4 Kd5 Ne3+ Kc5 Nxf5 Bxa5 Ng7 Rb3+ Ke2 Kb5 Ra2 Bc3 Ne6 a5 Kd3 Be1+ Kc2 a4 Rxa4,,"Sicilian Defense: Moscow Variation, Main Line",B52,salazar7161,salazar7161,1984,spellbind,spellbind,2008,2025-11-26 13:07:00.281,2025-11-26 13:12:40.907
ze7fb9Iy,True,standard,bullet,bullet,1764157557004,1764157700487,outoftime,black,c4 c6 d4 d5 g3 Nf6 Bg2 e6 Nf3 Nbd7 Nc3 b6 e3 Bb7 O-O Be7 b3 Kf8 Bb2 h5 h4 Rc8 Re1 Qc7 Ng5 g6 e4 dxe4 Ncxe4 c5 Qd2 Kg7 Rad1 Rhd8 Qe2 Kg8 Nxf6+ Nxf6 Bxb7 Qxb7 Qf3 Qxf3 Nxf3 Ng4 Nh2 Nh6 Nf3 cxd4 Rxd4 Ng4 Red1 Rxd4 Rxd4 Bc5 Rd2 Bb4 Re2 Bc5 a3 a5 Ne5 Nxe5 Bxe5 Rd8 Bf6 Rd1+ Kg2 Bxa3 Be5 Bc5 Bf4 Kh7 Be3 g5 Bxc5 bxc5 Re3 Kg6 Rf3 gxh4 gxh4 Rd2 Rg3+ Kh7 Rg5 f5 Kf3 Kh6 Kf4 e5+ Kxe5 Re2+,,Slav Defense,D10,Swhirl,swhirl,2073,spellbind,spellbind,2099,2025-11-26 11:45:57.004,2025-11-26 11:48:20.487
ICqGFiWU,True,standard,blitz,blitz,1764093611717,1764093960108,outoftime,white,d4 d5 c4 c6 Nf3 Nf6 Nc3 Bg4 Ne5 Bh5 cxd5 cxd5 Qb3 e6 Qxb7 Nbd7 Bg5 Be7 Nc6 Qc8 Qb5 a6 Qa4 h6 Nxe7 Kxe7 Bf4 g5 Bg3 Re8 Qa3+ Kd8 e3 Nb6 Bd3 Nfd7 O-O f5 Rac1 Qb7 Rfe1 Rg8 Qd6 Bf7 Rc2 Nc8 Qa3 Ne7 Bd6 Nc6 Rec1 Ke8 Nxd5 Nd8 Nc7+ Qxc7 Rxc7 Rg7 Rxd7 Kxd7 Rc7+ Ke8 Bb5+ axb5 Qxa8 Rg6 Re7+ Kf8 Qxd8+ Kg7 Qc7 Rf6 Be5 f4 Bxf6+ Kxf6 Rxf7+,,Slav Defense: Three Knights Variation,D15,spellbind,spellbind,2003,bergamechess,bergamechess,1965,2025-11-25 18:00:11.717,2025-11-25 18:06:00.108
hemWBz04,True,standard,blitz,blitz,1764093583418,1764093596694,resign,white,e4 c5 Nf3 d6 c3 Nf6 e5 dxe5 Nxe5 Nc6 Nxc6 Bd7 Nxd8,,"Sicilian Defense: Delayed Alapin Variation, with d6",B50,Itakan,itakan,2013,spellbind,spellbind,2009,2025-11-25 17:59:43.418,2025-11-25 17:59:56.694
BeFgHQfr,True,standard,blitz,blitz,1764093207274,1764093566734,mate,black,d4 Nf6 c4 e6 g3 c5 Nf3 g6 Bg2 Bg7 O-O O-O Nc3 d6 Re1 Qe7 Bg5 Nbd7 Qd2 Rb8 Rad1 Nb6 b3 e5 dxe5 dxe5 Qd6 Qxd6 Rxd6 Ne8 Rd8 f6 Bc1 Nc7 Red1 Be6 Rxb8 Rxb8 Ba3 Bf8 Nd2 Kf7 Nde4 Nd7 Nd6+ Bxd6 Rxd6 b6 Nd5 Nxd5 Bxd5 Nf8 Rc6 Bxd5 cxd5 Rd8 Rc7+ Rd7 Rxd7+ Nxd7 e4 Ke7 f4 Kd6 Kf2 b5 Ke3 a6 Kd3 h5 h3 g5 fxg5 fxg5 Bc1 g4 hxg4 hxg4 Bg5 Nb6 Bf6 c4+ bxc4 Nxc4 a4 Nb2+ Kc3 Nxa4+ Kb4 Nc5 Ka5 Nxe4 Kxa6 b4 Kb6 b3 Bd8 b2 Bc7+ Kd7 Bxe5 b1=Q+ Ka5 Nd6 Bf4 Qb5#,,Catalan Opening,E00,spellbind,spellbind,2015,gifoni,gifoni,2031,2025-11-25 17:53:27.274,2025-11-25 17:59:26.734
XuNyJC7C,True,standard,bullet,bullet,1764079403086,1764079492459,resign,white,c4 c5 Nc3 g6 b3 Bg7 Bb2 Nf6 g3 O-O Bg2 d6 e3 Nc6 Nge2 e6 O-O Bd7 d4 cxd4 exd4 d5 c5 b6 Nf4 Re8 Nd3 Rb8 Ne5 Nxe5 dxe5 Nh5 f4 Bh8 cxb6 axb6 Na4 b5 Nc5 Qe7 b4 Rec8 Bd4 Be8 a3 Ng7 h4 Nf5 Qd2 Nxd4 Qxd4 Bc6 Rac1 Ra8 Rf3 Ra7 Rfc3 Be8 Nd3 Rxc3 Qxc3 Ra8 Qc5 Rd8 Qxe7 Ra8 Rc3 Bg7 Nc5 Bf8 Qc7 Kg7 Bh3 h5 Bxe6,,"English Opening: Symmetrical Variation, Normal Variation",A34,slymnats,slymnats,2110,spellbind,spellbind,2110,2025-11-25 14:03:23.086,2025-11-25 14:04:52.459
GHB1lzt0,True,standard,blitz,blitz,1763989283211,1763989617216,outoftime,black,d4 c6 c4 d5 Nf3 e6 Nc3 Bd6 e3 Nf6 Bd3 a6 O-O O-O b3 b5 Re1 b4 Ne2 a5 Ng3 c5 dxc5 Bxc5 Bb2 Bb7 Rc1 Nbd7 Qc2 Rc8 Red1 dxc4 Bxc4 Bxf3 gxf3 Qb6 Ne4 Nxe4 Qxe4 Rfd8 Kh1 Nf8 Rg1 Ng6 h4 Rd2 h5 Rxb2 hxg6 hxg6 Rc2 Rxc2 Qxc2 Bxe3 fxe3 Qxe3 Qe2 Qh6+ Kg2 Rd8 Rh1 Qg5+ Kf1 Rd2 Rg1 Qf4 Qe4 Qh2 Be2 Rxa2 Rg2 Qh1+ Kf2 Qh6 Qa8+ Kh7 Qb8 Qh4+ Ke3 Qh6+ Ke4 f5+ Ke5 Qe3+ Kd6 Qd4+,,Slav Defense: Modern Line,D11,spellbind,spellbind,2021,chitengi81,chitengi81,2009,2025-11-24 13:01:23.211,2025-11-24 13:06:57.216
JWOVOipY,True,standard,blitz,blitz,1763988919326,1763989272641,outoftime,,d4 d5 Bf4 c5 c3 Nf6 e3 Nc6 Nf3 Qb6 Qb3 c4 Qxb6 axb6 Nbd2 b5 Be2 Bg4 O-O b4 h3 Bh5 Rfe1 e6 Ne5 Bxe2 Rxe2 Nxe5 dxe5 Nd7 Bg3 b5 f4 bxc3 bxc3 b4 cxb4 Bxb4 Nf3 Nc5 Rc2 Kd7 Nd4 Ra3 Bf2 Ne4 Nb5 Ra5 a4 Rb8 Rca2 Bc5 Kf1 h5 Ke2 Raxb5 axb5 Nc3+ Kf3 Nxa2 Rxa2 Rxb5 e4 Rb3+ Ke2 Bxf2 Kxf2 Kc7 Ra7+ Rb7 Ra5 Kc6 f5 d4 Ke2 Rb2+ Kf1 c3 g4 c2 Ra6+ Kc5 Ra5+ Kb4 Ra1 Rb1+ Rxb1+ cxb1=Q+ Kf2 Qxe4 fxe6 fxe6 gxh5 Qe3+ Kg2 d3 h6 Qxh6 h4 Qd2+ Kf3 Qe2+ Kf4 d2 Kg5 d1=Q h5 Qxh5+ Kf4 Qd4+ Kg3 Qg5+ Kh2 Qgd2+ Kh3 Q4e3+ Kg4 Qdd4+ Kh5 Qexe5+ Kg6 Qf6+ Kh7 Qdh4+ Kg8,,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",D00,balkantiger1,balkantiger1,2020,spellbind,spellbind,2021,2025-11-24 12:55:19.326,2025-11-24 13:01:12.641
