id,rated,variant,speed,perf,created_at_ms,last_move_at_ms,status,winner,moves,turns,opening_name,opening_eco,white_name,white_id,white_rating,black_name,black_id,black_rating,created_at,last_move_at
S7i8tECH,True,standard,blitz,blitz,1762282413365,1762282745499,draw,,c4 e5 Nc3 f5 e3 Nf6 Nge2 Nc6 d4 exd4 exd4 Bb4 d5 Ne5 Nf4 O-O Be2 Re8 O-O d6 h3 a6 Bd2 Bc5 Nd3 Nxd3 Bxd3 Qe7 Re1 Qf7 Qf3 Bd7 Bxf5 Bxf5 Qxf5 Rxe1+ Rxe1 Re8 Rxe8+ Qxe8 Qe6+ Kf8 Qf5 b5 cxb5 axb5 a3 b4 axb4 Bxb4 g3 Bxc3 Bxc3 Qe2 Bxf6 Qd1+ Kg2 gxf6 Qxf6+ Ke8 Qe6+ Kd8 b4 Qd4 b5 Qc5 Qg8+ Kd7 Qxh7+ Kc8 Qd3 Kb7 h4 Qc1 h5 Qh6 g4 Qg5 Kg3 Qe5+ f4 Qg7 Kh4 Qf6+ g5 Qxf4+ Kh3 Qxg5 Qf3 Kb6 Kh2 Kxb5 Qb3+ Kc5 Qf3 Qd2+ Kh3 Qg5 Qc3+ Kb6 Qc6+ Ka5 Qxc7+ Kb5 Qc6+ Ka5 Qc3+ Kb6 Qf3 Kc5 Qg2 Qf5+ Kh4 Kd4 Qg4+ Ke5 Qxf5+ Kxf5 h6 Kg6 h7 Kxh7 Kg5 Kg7 Kf5 Kf7 Kg5 Kg7 Kf5 Kf7 Kg5 Kg7,,"English Opening: King's English Variation, Reversed Sicilian",A21,navojoalov,navojoalov,1860,Mouseslippin_Jimmy,mouseslippin_jimmy,1867,2025-11-04 18:53:33.365,2025-11-04 18:59:05.499
uHDBGtHa,True,standard,blitz,blitz,1762282294209,1762282405860,mate,black,Nf3 e6 d4 d5 Nc3 c5 Bf4 Nc6 e3 a6 Be2 Nf6 Qd2 Bd6 Bg3 O-O O-O-O cxd4 exd4 b5 Ne5 Bd7 f4 b4 Nb1 a5 h4 Ne4 Qe3 a4 Bd3 Nxg3 Qxg3 Qc7 h5 h6 Qf3 Nxd4 Qe3 Bc5 Qd2 Bb6 g4 b3 axb3 Nxb3#,,Zukertort Opening: Queen's Gambit Invitation,A04,Jurbit,jurbit,1846,Mouseslippin_Jimmy,mouseslippin_jimmy,1851,2025-11-04 18:51:34.209,2025-11-04 18:53:25.860
f1JMjTci,True,standard,blitz,blitz,1762281923098,1762282095220,outoftime,black,e4 e6 Nf3 c6 d4 d5 Nbd2 dxe4 Nxe4 f5 Nc3 Nf6 Bc4 Bd6 O-O O-O Re1 Nd5 Bg5 Qc7 h3 Qf7 Ne5 Bxe5 Rxe5 Qg6 Qd2 h6 Be3 f4 Nxd5 exd5 Bd3 fxe3 Bxg6 exd2,,French Defense: Knight Variation,C00,Mouseslippin_Jimmy,mouseslippin_jimmy,1868,TheCuriousChemist,thecuriouschemist,1878,2025-11-04 18:45:23.098,2025-11-04 18:48:15.220
ZNGU1xfR,True,standard,blitz,blitz,1762281824362,1762281913572,resign,white,e4 e6 d4 d5 exd5 exd5 Bd3 Nd7 h3 c5 c3 Bd6 Nf3 Ne7 O-O O-O Re1 Re8 Nbd2 b6 Nf1 Bb7 Bg5 Qc7 Bc2 Rac8 Bxe7 Rxe7 Qd3 Rce8 Qxh7+,,French Defense: Exchange Variation,C01,Kisha7,kisha7,1920,Mouseslippin_Jimmy,mouseslippin_jimmy,1884,2025-11-04 18:43:44.362,2025-11-04 18:45:13.572
xdCQf7jv,True,standard,blitz,blitz,1762281279749,1762281652091,mate,black,e4 e5 Nf3 Nf6 Nxe5 Nxe4 d4 d6 Nf3 d5 Bd3 Bd6 O-O O-O Nbd2 f5 c3 c6 Re1 Be6 Qc2 Nd7 Nf1 Rc8 b4 Bb8 a4 Qc7 Re2 Rf6 Ng5 Rg6 h4 h6 Nh3 Ndf6 Nf4 Rg4 Nxe6 Qd6 Nc5 Rxh4 f3 Ng3 Re6 Rh1+ Kf2 Rxf1+ Bxf1 Qc7 Bd2 b6 Nd3 Nge4+ fxe4 Nxe4+ Rxe4 Qg3+ Ke2 fxe4 Nf4 Rf8 Re1 Bxf4 Bxf4 Rxf4 Kd1 Rf2 Qb3 h5 b5 cxb5 Qxd5+ Kh7 Rxe4 Rxf1+ Kc2 Qf2+ Kb3 Rb1+ Ka3 Qb2#,,"Petrov's Defense: Classical Attack, Marshall Variation",C42,Mouseslippin_Jimmy,mouseslippin_jimmy,1903,Paralyzer000,paralyzer000,1919,2025-11-04 18:34:39.749,2025-11-04 18:40:52.091
vGUExTKx,True,standard,blitz,blitz,1762281042535,1762281261022,resign,black,e4 c5 d4 cxd4 c3 dxc3 Nxc3 Nc6 Bc4 Nf6 Nf3 g6 O-O Bg7 Qe2 O-O Rd1 Qb6 Be3 Qa5 a3 d6 b4 Qc7 Rac1 Qb8 Bf4 Nh5 Bg5 h6 Bh4 Bg4 Qe3 Bxf3 gxf3 a6 Kh1 Ne5 Bb3 Nf6 Rg1 Kh7 h3 b5 f4 Nc4 Bxc4 bxc4 e5 Qb7+ Kh2 dxe5 fxe5 Nh5,,Sicilian Defense: Smith-Morra Gambit Accepted,B21,Gambit37133,gambit37133,1806,Mouseslippin_Jimmy,mouseslippin_jimmy,1887,2025-11-04 18:30:42.535,2025-11-04 18:34:21.022
Mv2sLRlN,True,standard,blitz,blitz,1762242851531,1762243217139,outoftime,black,d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O c5 cxd5 exd5 dxc5 Bxc5 Bg5 Nbd7 Nc3 Nb6 Na4 Be7 Nxb6 axb6 Qd4 Be6 Rfd1 b5 Ne5 Ra4 Qd3 Qb8 Bf4 Qa7 Qxb5 Rxa2 Rxa2 Qxa2 Qxb7 Bd6 Nd3 Rb8 Qxb8+ Bxb8 Bxb8 h6 Be5 Ne4 Rc1 f6 Bd4 Qa4 e3 Bf5 Nc5 Qe8 h3 Qb5 Nxe4 dxe4 Bf1 Qd7 Bc4+ Kh7 Bf1 Bxh3 Be2 Qf5 Rc5 Qd7 Kh2 Be6 Bb5 Qf7 Be2 Qg6 Kg2 f5 Rc6 Qf7 b4 Qd7 b5 h5,,Catalan Opening: Closed,E06,Mouseslippin_Jimmy,mouseslippin_jimmy,1906,StephenJalandoniPhi,stephenjalandoniphi,1948,2025-11-04 07:54:11.531,2025-11-04 08:00:17.139
FwzOzXws,True,standard,blitz,blitz,1762203042689,1762203412359,outoftime,black,e4 c5 Nf3 d6 c3 Nc6 d4 cxd4 cxd4 d5 e5 Bg4 Be2 e6 h3 Bxf3 Bxf3 Qb6 Be3 Qxb2 Nd2 Nxd4 O-O Nxf3+ Qxf3 b6 Rfb1 Qxe5 Bf4 Qf6 Qg3 Nh6 Re1 Be7 Rad1 O-O Re5 Nf5 Qf3 Bc5 Rde1 Rac8 Nb3 Rfd8 Nxc5 Rxc5 Qg4 Rdc8 Bg5 Qg6 h4 Nd6 h5 Qd3 h6 g6 Qf4 Ne8 Be7 Rc4 Qg5 Rc2 R5e3 Qd2 Rf1 Rc1 Qe5 Rxf1+ Kxf1 Rc1+ Re1 Qxe1+ Qxe1 Rxe1+ Kxe1 f6 Kd2 Kf7 Bb4 Nc7 a4 a6 Kc3 b5 axb5 Nxb5+ Kd3 e5 Bc5 Ke6 g3 f5 f4 e4+ Ke3 Kd7 Bd4 Nxd4 Kxd4 Kd6 Kc3 Kc5 Kb3 Kd4,,"Sicilian Defense: Delayed Alapin Variation, with d6",B50,DrGranud0,drgranud0,1853,Mouseslippin_Jimmy,mouseslippin_jimmy,1885,2025-11-03 20:50:42.689,2025-11-03 20:56:52.359
QUnvg4qD,True,standard,blitz,blitz,1762202673925,1762202963094,resign,white,d4 c6 c4 g6 Nf3 Bg7 Nc3 d6 e4 Nd7 Bg5 h6 Be3 Ngf6 Bd3 a6 O-O b5 Nd2 Nb6 f4 Ng4 Qf3 Nxe3 Qxe3 bxc4 Nxc4 Rb8 Kh1 O-O f5 Nxc4 Bxc4 d5 Bd3 c5 e5 cxd4 Qxd4 Qb6 Qxb6 Rxb6 Nxd5 Rxb2 fxg6 Bb7 Nxe7+ Kh8 Bc4 Rxg2 Bd5 Bxd5 Nxd5 Rd2 Ne7 Bxe5 Rae1 f6 Rxe5 Re8 Rxf6,,Queen's Pawn Game,A40,Mouseslippin_Jimmy,mouseslippin_jimmy,1864,taccoenjm,taccoenjm,1810,2025-11-03 20:44:33.925,2025-11-03 20:49:23.094
mfCoq0Lj,True,standard,blitz,blitz,1761948020481,1761948366698,outoftime,black,d4 d5 c4 Nf6 cxd5 Nxd5 e4 Nb6 Nc3 g6 Be2 Bg7 Nf3 O-O O-O e6 Bg5 f6 Be3 Bd7 Qb3 Kh8 Rfd1 c6 Rac1 Na6 Rd2 Rc8 Rcd1 Qe7 Qc2 Nc7 a3 h5 Nh4 Be8 f4 f5 Nf3 Bf7 Ne5 Bxe5 dxe5 Rcd8 Bxb6 axb6 Na4 fxe4 Qxe4 Rxd2 Rxd2 Nd5 Nc3 Rd8 Nxd5 Rxd5 Rd3 Qc5+ Kf1 Rxd3 Bxd3 Qc1+ Kf2 Qxb2+ Kg3 Qxa3 Kh4 Qe7+ Kg3 b5 Bc2 Kg7 Qd3 b4 Bb3 c5 f5 exf5 e6 Bxe6 Bd1 Qd7 Kh4 Qxd3,,Queen's Gambit Declined: Marshall Defense,D06,Mouseslippin_Jimmy,mouseslippin_jimmy,1890,Pekoconk3,pekoconk3,1886,2025-10-31 22:00:20.481,2025-10-31 22:06:06.698
